"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","forge","21.21","18.98","18.72"
"startup.js","bun","38.82","38.37","38.25"
"startup.js","node","44.26","43.98","43.75"
"json-bench.js","forge","369.34","368.76","366.83"
"json-bench.js","bun","248.93","248.73","248.08"
"json-bench.js","node","538.57","536.58","534.05"
"loop-bench.js","forge","81.85","81.91","81.07"
"loop-bench.js","bun","72.05","71.74","70.85"
"loop-bench.js","node","91.48","90.98","90.42"
"timer-bench.js","forge","21.65","21.63","21.38"
"timer-bench.js","bun","53.22","54.41","48.17"
"timer-bench.js","node","58.67","58.66","57.7"
"microtask-bench.js","forge","55.74","55.7","55.34"
"microtask-bench.js","bun","57.97","53.94","53.48"
"microtask-bench.js","node","106.39","104.6","102.87"
"promise-chain-bench.js","forge","86.2","85.98","85.31"
"promise-chain-bench.js","bun","43.48","43.66","42.43"
"promise-chain-bench.js","node","47.13","47.39","46.03"
"fs-bench.js","bun","991.97","999.04","959.66"
"fs-bench.js","node","929.14","930.13","911.09"
